Na Mg Al Si P S Cl K Ca Fe Cu Zn Ba Pb OC EC SO4 NO3
0.455866365 0.134227358 0.074214589 0.142570131 0.010592986 6.517545259 0 0.075368 0.154337756 0.149837329 0.067067684 0.020442977 0.00702661 0.015199555 5.1 0.52 15.24316824 1.59
0.757369174 0 0.01499524 0.043130145 0.040439218 0.743127119 0.021787604 0.02369111 0.048991298 0.065972209 0.026032832 0.033489369 0 0.011674376 1.35 0.27 1.527871878 0.34
0.663137281 0.132946223 0.04311394 0.107042766 0.014549218 2.300728556 0 0.054512046 0.125101343 0.12276177 0.001462233 0.024938384 0.001476855 0.008108082 2.63 0.59 2.485996706 0.3
0.113851158 0.034165492 0.048049073 0.099206734 0 3.377137516 0 0.079062499 0.121995806 0.266882129 0.005391119 0.062142791 0.083910159 0.00909389 4.54 0.93 7.958245379 1.27
0.810076047 0.106932085 0.048869064 0.090536452 0 7.692358045 0 0.062334413 0.102257585 0.133017808 0.003945805 0.019667007 0.059078543 0.007666799 5.14 0.84 19.14668458 1.21
0 0 0.026588118 0.16331715 0.04036177 2.20344625 0 0.054321739 0.1451685 0.084042742 0.051975526 0.049063461 0 0.013145695 3.82 0.42 4.68482031 0.53
0.242939722 0.017886993 0.02824528 0.147816723 0 1.170977254 0 0.042674698 0.163610403 0.12048817 0.003796835 0.010437688 0.075294278 0.008921841 2.18 0.53 2.663215507 0.23
0.285473226 0.12335844 0.04921831 0.281383996 0.01518355 4.518732724 0 0.074090947 0.252379973 0.188266185 0.008424376 0.021626547 0.052569793 0.014867373 7.68 1.2 11.18930186 1.02
0.908510394 0.106520895 0.030110901 0.234241299 0 5.870249118 0 0.082668761 0.304284989 0.307339095 0.027121318 0.05741145 0.01836048 0.009606811 9.32 1.33 12.49571215 1.31
0.396290177 0.025765171 0.030600987 0.17920716 0 3.310123024 0 0.164375444 0.216977278 0.201440634 0.038876858 0.04364923 0.023854812 0.013647434 7.24 0.64 7.855192489 1.66
0.194718885 0.04094633 0.148909417 0.386945322 0 0.963560173 0 0.086261605 0.108235252 0.142119646 0.030081264 0.021257426 0.008673431 0.003559616 2.46 0.99 2.063345836 0.27
